Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Royal Botanic Gardens Kew,03-Aug-10,Professional Services – IT,IT Computing IT Corporate Core CORE NETWORK UPGRADE,Extended Content Solutions Limited,MS0185065      ,48000,Not known
Defra,Royal Botanic Gardens Kew,03-Aug-10,Water rates                   ,Estates Kew Section Core -----,Thames Water Utilities Ltd,MS0184948      ,35622.76,Not known
Defra,Royal Botanic Gardens Kew,09-Aug-10,Events ,Estates Kew Section Core -----,BLACKMORE MAINTENANCE SERVICES LTD,MS0185223      ,20000,Not known
Defra,Royal Botanic Gardens Kew,09-Aug-10,Events ,Estates Kew Section Core -----,BLACKMORE MAINTENANCE SERVICES LTD,MS0185223      ,1771.21,Not known
Defra,Royal Botanic Gardens Kew,16-Aug-10,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0185442      ,34427.26,Not known
Defra,Royal Botanic Gardens Kew,16-Aug-10,Professional Services – Conservation and Sustainability ,Estates Kew Section Core Consultants Claire Shuttleworth - Sustainability Support (x 4 months,Logan Energy Ltd,MS0185431      ,21411,Not known
Defra,Royal Botanic Gardens Kew,16-Aug-10,New works-Pt I-other costs    ,Estates Capital Projects Section Core Quarantine House,Unigro Ltd,MS0185531      ,97950.6,Not known
Defra,Royal Botanic Gardens Kew,24-Aug-10,Advertising & publicity       ,Communications & Commercial Activities Advertising Kew Core 250th Anniversary,Arena BLM Ltd,MS0185824      ,34307.99,Not known
Defra,Royal Botanic Gardens Kew,25-Aug-10,Electricity                   ,Estates Kew Section Core -----,EDF Energy Customers plc,MS0185103      ,48397.67,Not known
,,,,,,,341888.49,
