Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1959560,"93,977,997"
Home Office,Home Office,03/05/2011,Grants,CPG - Crime & Policing Group,SOCA (G),1961134,"60,000,000"
Home Office,Home Office,27/05/2011,Grants,CPG - Crime & Policing Group,NPIA (G),1979500,"32,000,000"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,WEST MIDLANDS POLICE AUTHORITY 1 (G),1959667,"22,740,680"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,GREATER MANCHESTER POLICE AUTHORITY (G),1959520,"20,705,963"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,WEST YORKSHIRE POLICE (G),1959668,"16,054,480"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,THAMES VALLEY POLICE (G),1959627,"13,179,571"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),1959530,"11,497,255"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),1959557,"11,480,388"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,NORTHUMBRIA POLICE (G),1959595,"10,357,098"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,AVON & SOMERSET POLICE AUTHORITY 1 (G),1959232,"10,077,352"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,DEVON & CORNWALL POLICE AUTHORITY 1 (G),1959499,"9,911,628"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,KENT POLICE AUTHORITY 1 (G),1959544,"9,823,144"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,ESSEX POLICE AUTHORITY (G),1959514,"9,800,828"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),1959549,"9,528,222"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE AUTHORITY 1 (G),1959611,"9,230,816"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,SUSSEX POLICE AUTHORITY 1 (G),1959622,"9,081,460"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,SOUTH WALES POLICE AUTHORITY 1 (G),1959609,"8,387,288"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,NOTTINGHAMSHIRE POLICE AUTHORITY 2 (G),1959606,"7,237,470"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,HERTFORDSHIRE POLICE AUTHORITY 1 (G),1959533,"6,623,331"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,HUMBERSIDE POLICE AUTHORITY 1 (G),1959537,"6,232,921"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,STAFFORDSHIRE POLICE AUTHORITY (G),1959613,"6,180,975"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,NEW WEST MERCIA POLICE AUTHORITY (G),1959666,"6,178,620"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,LEICESTERSHIRE POLICE AUTHORITY (G),1959551,"6,036,080"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1959498,"5,846,241"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,SURREY POLICE AUTHORITY 1 (G),1959620,"5,835,740"
Home Office,Home Office,04/05/2011,Grants,CPG - Crime & Policing Group,CHESHIRE POLICE AUTHORITY 2 (G),1959240,"5,792,834"
